"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	8129.61	-587930	14	0
1	7943.63	-572031	11	0
1	5107.73	-538128	9	0
1	4153.27	-512171	6	0
1	4153.27	-501949	4	0
1	4153.27	-488691	2	0
1	4153.27	-473198	0	0
1	4153.27	-470955	-1	0
1	4153.27	-443158	-1	0
1	4153.27	-452472	-2	0
1	4153.27	-558619	-2	0
1	4153.27	-671703	-3	0
1	4153.27	-435096	-3	0
1	4153.27	-432430	-3	0
1	28502.7	-717476	-2	0
1	86632.9	-660201	-2	0
1	117963	-599632	0	0
1	132865	-538889	3	0
1	132765	-423344	5	0
1	135134	-410184	7	0
1	147306	-475004	9	0
1	161390	-447995	11	0
1	155985	-435929	9	0
1	126190	-409224	8	0
1	83357.2	-357635	6	0
1	53956.7	-306454	5	0
1	42361.4	-390528	5	0
1	38692.4	-473928	4	0
1	24415.6	-514700	2	0
1	12938.4	-493404	-1	0
1	8698.01	-473399	-3	0
1	7728.67	-488843	-4	0
1	7447.19	-532572	-4	0
1	7264.66	-547467	-5	0
1	7120.75	-556236	-5	0
1	6994.04	-570392	-6	0
1	6954.88	-369842	-6	0
1	8056.26	-347485	-5	0
1	51228.3	-626506	-4	0
1	126877	-552695	-3	0
1	162698	-512360	-1	0
1	175834	-473732	2	0
1	173029	-366746	4	0
1	173253	-363528	6	0
1	183957	-439827	8	0
1	196531	-420578	10	0
1	189799	-403775	9	0
1	158404	-360631	9	0
1	111202	-305806	8	0
1	76452.3	-254299	6	0
1	58821.4	-288059	5	0
1	51541.6	-373039	3	0
1	32516.8	-391003	2	0
1	19470.1	-423201	1	0
1	13256.7	-402226	0	0
1	10904.8	-426493	-3	0
1	9911.9	-446192	-5	0
1	9204.66	-469521	-8	0
1	8799.35	-442239	-8	0
1	8571.34	-416985	-9	0
1	8386.36	-305379	-9	0
1	10698.2	-287373	-8	0
1	62829.3	-593666	-8	0
1	147541	-533191	-7	0
1	184410	-499413	-3	0
1	195827	-456492	2	0
1	191976	-349252	6	0
1	191521	-344308	9	0
1	201695	-431840	11	0
1	214365	-435345	14	0
1	204210	-426273	13	0
1	172963	-400405	13	0
1	124412	-347219	12	0
1	86925.7	-288807	12	0
1	66719.5	-424806	12	0
1	58140.6	-498068	12	0
1	36255.2	-557417	12	0
1	22085.2	-556982	12	0
1	15721.1	-554466	12	0
1	13282.1	-537371	12	0
1	12199.1	-491958	12	0
1	11409.4	-469874	12	0
1	10746.2	-475480	12	0
1	10146.3	-507563	12	0
